id,subject_name,percentage_result,centile_result,weight,student
87,Informatics,13,58,0.03232511097211743,75431314426
88,Geography,49,98,0.5304223115514916,44982258383
89,Mathematics,41,56,0.924998964383941,44982258383
90,Other,1,60,0.2784080874522672,44982258383
91,Chemistry,89,39,0.23670669896181606,68351100263
92,Informatics,98,28,0.23211752790357254,68351100263
93,Geography,36,26,0.919838104867659,68351100263
94,Foreign Language,27,1,0.4881156300154422,17123468768
95,Polish,94,43,0.3428315447620812,17123468768
96,Mathematics,76,30,0.9848608172589572,17123468768
97,Foreign Language,50,61,0.23580066625477913,85916640494
98,Mathematics,32,37,0.0651929469231246,85916640494
99,Chemistry,5,80,0.8408926865154362,85916640494
100,Physics,88,6,0.13085819179368252,77434704907
101,Foreign Language,47,64,0.7074015295066536,77434704907
102,Other,17,0,0.9968949399450164,77434704907
103,Physics,42,92,0.08053008917398707,26294879973
104,Mathematics,61,100,0.8703144760644828,26294879973
105,Chemistry,29,89,0.5223754131096426,26294879973
106,Biology,24,78,0.03173195886844882,99683381727
107,Foreign Language,11,22,0.2404385145614033,99683381727
108,Mathematics,51,99,0.1663918659996293,99683381727
109,Foreign Language,95,81,0.866575802990276,36227117607
110,Physics,79,69,0.3988160255842441,36227117607
111,Polish,17,57,0.4815239761417247,36227117607
112,Biology,91,21,0.1187518081675667,28034871463
113,Informatics,85,64,0.5097012474847131,28034871463
114,Foreign Language,6,31,0.9653237143696174,28034871463
115,Foreign Language,20,29,0.7599913974126918,98662230415
116,Physics,3,62,0.6860965439497612,98662230415
117,Informatics,64,42,0.06667374885422972,98662230415
118,Foreign Language,42,71,0.01150007100867989,51720618505
119,Geography,16,37,0.6703037055655205,51720618505
120,Polish,62,75,0.2342235161851629,51720618505
121,Foreign Language,80,36,0.11432637230913256,49392783401
122,Informatics,24,52,0.9887175383283102,49392783401
123,Physics,58,52,0.24882176967115288,49392783401
124,Foreign Language,70,33,0.2664322522422009,24224627984
125,Informatics,66,8,0.310050382395463,24224627984
126,Physics,25,59,0.04976969011455401,24224627984
127,Mathematics,33,58,0.43724716375726436,77470017314
128,Chemistry,43,34,0.8111702877069381,77470017314
129,Foreign Language,8,65,0.18989400128925749,77470017314
130,Polish,75,75,0.3748612778668041,62112574490
131,Physics,16,20,0.12086177267599618,62112574490
132,Foreign Language,33,55,0.08213043281554433,62112574490
133,Foreign Language,30,23,0.838948524977025,46801932524
134,Physics,2,91,0.4479152687005903,46801932524
135,Mathematics,33,71,0.5332396848622397,46801932524
136,Mathematics,70,6,0.25858267378110933,75264961401
137,Foreign Language,22,98,0.7585859402896641,75264961401
138,Biology,70,47,0.7526428039042219,75264961401
139,Biology,90,42,0.8744195196328298,90773391225
140,Foreign Language,78,6,0.1908440549773348,90773391225
141,Other,88,37,0.7752505329910048,90773391225
142,Mathematics,63,21,0.2919480728197018,38705733180
143,Foreign Language,71,98,0.03394366349477551,38705733180
144,Geography,100,22,0.6718088500024925,38705733180
145,Foreign Language,76,73,0.773062546115767,38528566605
146,Mathematics,88,39,0.8072311572865213,38528566605
147,Polish,59,84,0.6707148578099867,38528566605
148,Polish,66,66,0.8523710287218732,98062845261
149,Foreign Language,34,92,0.08184148085515597,98062845261
150,Physics,63,18,0.4759003397614615,98062845261
151,Informatics,55,91,0.8521179650338264,90658896527
152,Polish,63,10,0.7157402940051675,90658896527
153,Physics,80,1,0.9608093867708728,90658896527
154,Chemistry,16,17,0.5959847859227024,96480959911
155,Foreign Language,70,63,0.06309487990367058,96480959911
156,Polish,93,97,0.5522631657495582,96480959911
157,Mathematics,10,0,0.12342926802036103,88986763444
158,Foreign Language,68,10,0.056964122680318474,88986763444
159,Polish,99,38,0.8683946991496158,88986763444
160,Mathematics,35,13,0.07616216302472478,31494092972
161,Informatics,71,39,0.6835818774159038,31494092972
162,Foreign Language,34,21,0.6639581093165575,31494092972
163,Mathematics,43,94,0.08849833803879603,32962666660
164,Foreign Language,64,11,0.27434606122538496,32962666660
165,Polish,87,69,0.6963679178461326,32962666660
166,Mathematics,74,20,0.008750852263986975,85722958167
167,Chemistry,43,48,0.999928670925565,85722958167
168,Foreign Language,87,17,0.3968079442457595,85722958167
169,Mathematics,12,90,0.7781596434941733,11981733556
170,Foreign Language,73,2,0.4456784532656918,11981733556
171,Informatics,68,99,0.33298271085025244,11981733556
172,Biology,95,76,0.9648941038482511,33350577325
173,Foreign Language,96,56,0.23731532544561895,33350577325
174,Polish,50,0,0.07467497176317783,33350577325
175,Physics,17,29,0.05235864728473927,25721811470
176,Biology,24,36,0.46838474309130884,25721811470
177,Foreign Language,34,39,0.0662839915176262,25721811470
178,History,46,40,0.5726583830775239,76973457334
179,Biology,50,47,0.7126894012587097,76973457334
180,Foreign Language,55,30,0.6162937663553683,76973457334
181,Mathematics,17,40,0.22432052332604768,84956463994
182,Foreign Language,90,34,0.28434049351547064,84956463994
183,Physics,97,64,0.9727161800933408,84956463994
184,Mathematics,33,22,0.6403553402247041,94763767414
185,Polish,30,97,0.289586627872341,94763767414
186,Chemistry,66,72,0.6916980714267499,94763767414
187,Mathematics,76,24,0.5534118241491472,13997817332
188,Chemistry,78,13,0.6086406113969537,13997817332
189,Polish,73,56,0.6709531519721067,13997817332
190,Foreign Language,59,85,0.26258167785835607,97383969801
191,Chemistry,19,98,0.8576809955871795,97383969801
192,Mathematics,9,97,0.9339319156355665,97383969801
193,Mathematics,74,97,0.39509284476310547,38131888226
194,Foreign Language,51,83,0.39307844084623234,38131888226
195,Biology,64,99,0.6979331252364894,38131888226
196,Biology,71,82,0.35006195549494734,54784948104
197,Foreign Language,55,23,0.1045973550360294,54784948104
198,Physics,83,88,0.29650949798917814,54784948104
199,Geography,59,23,0.01809301362877247,30413331375
200,Foreign Language,14,93,0.31345148037825976,30413331375
201,Mathematics,58,31,0.9382200215025609,30413331375
202,Chemistry,42,30,0.5392050343095884,84947147397
203,Mathematics,49,81,0.16236788533697877,84947147397
204,Foreign Language,18,100,0.8816647456358736,84947147397
205,Physics,17,84,0.36607717009151464,41251588997
206,Mathematics,60,38,0.01767063825159354,41251588997
207,Biology,97,8,0.7827573359687044,41251588997
208,Geography,50,88,0.257781499505661,20944159256
209,Foreign Language,68,94,0.6111198083531209,20944159256
210,Polish,70,22,0.20905848267544236,20944159256
211,Foreign Language,73,27,0.6995429057264649,15180826833
212,Biology,31,62,0.2216166612838375,15180826833
213,History,9,71,0.9454919641131084,15180826833
214,Mathematics,91,72,0.05645663143840429,62489558788
215,Foreign Language,32,77,0.8476499668100055,62489558788
216,Biology,70,100,0.9442662429188956,62489558788
217,Mathematics,16,57,0.8291953811169079,49595876107
218,Chemistry,14,78,0.9484243709413446,49595876107
219,Foreign Language,9,89,0.2892861450551629,49595876107
220,Informatics,15,6,0.3597616627251191,36530771939
221,Foreign Language,87,87,0.84893587798322,36530771939
222,Polish,45,53,0.5166461816861518,36530771939
223,Mathematics,97,48,0.7190484734205427,37213049144
224,Foreign Language,92,34,0.5887174503580561,37213049144
225,Chemistry,91,22,0.4559300519992814,37213049144
226,Physics,61,13,0.7998701969633422,70974506017
227,Foreign Language,15,86,0.622626359734306,70974506017
228,Geography,49,28,0.4643122537119374,70974506017
229,Foreign Language,75,71,0.08150323193682418,22430251294
230,Physics,65,49,0.25708490944180395,22430251294
231,Informatics,23,49,0.8423053195674882,22430251294
232,History,20,50,0.016414867046085746,37593040224
233,Physics,86,83,0.21562622508377083,37593040224
234,Mathematics,28,43,0.17653008613195298,37593040224
235,Mathematics,87,74,0.09244913347807082,26492847832
236,History,92,18,0.8761095691079929,26492847832
237,Foreign Language,84,38,0.5399574182696472,26492847832
238,Foreign Language,56,83,0.8758228699908625,76558884088
239,Physics,62,71,0.774463906879839,76558884088
240,Geography,47,66,0.6440221674008116,76558884088
241,Informatics,62,96,0.7924145050530276,84083136335
242,Mathematics,15,29,0.7984723742215052,84083136335
243,Foreign Language,80,96,0.26253530679191517,84083136335
244,Foreign Language,52,48,0.008190618722429877,55486635567
245,Polish,31,46,0.44514348831889217,55486635567
246,Physics,63,58,0.45025615425709786,55486635567
247,Biology,39,46,0.09472738727486685,62819874647
248,Mathematics,93,15,0.9687697884185361,62819874647
249,Informatics,75,69,0.48096212690392337,62819874647
250,Foreign Language,78,73,0.5198896459574119,50712570540
251,Mathematics,15,75,0.11691608083402705,50712570540
252,Other,11,1,0.29330447263761117,50712570540
253,Foreign Language,92,0,0.2387937963776623,77991900407
254,Polish,78,63,0.3018291610036208,77991900407
255,Geography,62,83,0.45805917605149404,77991900407
256,Chemistry,80,50,0.25246488853133386,67964887674
257,Mathematics,33,96,0.6210457690552,67964887674
258,Foreign Language,99,54,0.893229318034012,67964887674
259,Mathematics,80,54,0.22840066121451075,43497432645
260,Geography,18,98,0.48358560629108016,43497432645
261,Chemistry,54,69,0.7267330246049281,43497432645
262,Mathematics,3,94,0.5014126587877857,91039519835
263,Biology,43,31,0.43238583410532605,91039519835
264,Informatics,96,12,0.5760916677426138,91039519835
265,Foreign Language,22,80,0.1047255333524113,93927043626
266,Mathematics,50,34,0.4261129820537959,93927043626
267,Polish,56,47,0.7505519601776595,93927043626
268,Foreign Language,4,93,0.20929093543156596,37699476984
269,Polish,95,30,0.29257897443655645,37699476984
270,Mathematics,40,17,0.04508902172412843,37699476984
271,Foreign Language,80,53,0.5937749536361959,17173209675
272,Physics,56,32,0.11238806131628953,17173209675
273,Mathematics,23,30,0.6726788212062933,17173209675
274,Foreign Language,85,46,0.11514789060361574,55848773181
275,Physics,89,29,0.5264138379705978,55848773181
276,Other,56,24,0.446559303713319,55848773181
277,Foreign Language,61,56,0.3637222735923312,52227236026
278,Mathematics,3,35,0.2099930166396775,52227236026
279,Physics,46,23,0.02190787305833508,52227236026
280,Physics,85,75,0.5571888629207156,38545392568
281,Mathematics,27,31,0.8120918864759561,38545392568
282,Foreign Language,29,77,0.1823600117583174,38545392568
283,Polish,7,53,0.39582795068107357,24001491889
284,Physics,5,31,0.5190056793061508,24001491889
285,Mathematics,89,80,0.7924900493884391,24001491889
286,Biology,94,10,0.5321002705557026,47523687518
287,Foreign Language,64,93,0.7819650456846637,47523687518
288,Mathematics,79,14,0.330895199993528,47523687518
289,Mathematics,47,18,0.5874490000879674,43620805640
290,Foreign Language,43,2,0.06849909247652142,43620805640
291,Informatics,25,38,0.5797299392318563,43620805640
292,Foreign Language,59,83,0.9133993490014268,73407136874
293,Polish,95,10,0.45181063745299377,73407136874
294,Mathematics,58,44,0.5345383168801315,73407136874
295,Mathematics,19,11,0.3719312294312289,68917604968
296,History,60,0,0.1267149502645366,68917604968
297,Chemistry,57,21,0.8170008465218551,68917604968
298,Mathematics,77,48,0.7480725531655945,79053703565
299,Polish,58,33,0.8431859330335614,79053703565
300,Foreign Language,25,53,0.4053335145781781,79053703565
301,Other,49,60,0.9136171941236206,45198160935
302,Geography,80,43,0.5243476191150159,45198160935
303,Foreign Language,93,92,0.7719091776318808,45198160935
304,Foreign Language,4,13,0.17295513114637184,94714642961
305,Mathematics,53,58,0.7722700050342216,94714642961
306,Geography,87,23,0.056927146262856,94714642961
307,Informatics,9,73,0.9145905544128619,58840913376
308,Foreign Language,11,50,0.12630572186318312,58840913376
309,Mathematics,3,13,0.3695185228640502,58840913376
310,Mathematics,53,72,0.4215317272306721,33804278192
311,Foreign Language,44,68,0.013117957941386926,33804278192
312,Geography,87,21,0.4004818444386099,33804278192
313,Polish,79,99,0.41832541170154625,54129907332
314,Foreign Language,34,74,0.4596387287306438,54129907332
315,Mathematics,17,67,0.05748584348438068,54129907332
316,Mathematics,8,19,0.5413219783371642,99849591886
317,Physics,88,86,0.4306788326262394,99849591886
318,Foreign Language,80,50,0.48959594016332575,99849591886
319,Polish,86,80,0.23365655164697285,54147224522
320,Biology,80,86,0.21204748011140895,54147224522
321,Chemistry,42,73,0.3037030172105686,54147224522
322,Foreign Language,94,12,0.918647677676673,71626731176
323,Chemistry,9,6,0.20136307389124797,71626731176
324,Mathematics,81,29,0.38383848496278405,71626731176
325,Mathematics,64,23,0.4092053412412041,67663131013
326,Foreign Language,84,18,0.019645820840476724,67663131013
327,Informatics,31,6,0.9307203107462102,67663131013
328,Mathematics,75,17,0.7261833134735702,44858152582
329,Physics,59,47,0.7169407200775442,44858152582
330,Foreign Language,14,24,0.05613732391969384,44858152582
331,Foreign Language,17,80,0.04392332926553666,14681380937
332,Informatics,77,94,0.06735400613138076,14681380937
333,Physics,54,74,0.8898169221054141,14681380937
334,Mathematics,88,38,0.949372753804567,40540562191
335,Foreign Language,2,80,0.8942888387351082,40540562191
336,Chemistry,15,62,0.8898990822609529,40540562191
337,Physics,61,27,0.9414977986426343,30382585596
338,Geography,60,97,0.3674815154501242,30382585596
339,Mathematics,92,17,0.0987734399433956,30382585596
340,Informatics,59,74,0.07667497359868203,40087094397
341,Chemistry,58,31,0.5684118282263555,40087094397
342,Geography,4,56,0.36194675301441404,40087094397
343,Mathematics,25,60,0.36744057797957885,75385422879
344,Physics,31,2,0.18078385263132835,75385422879
345,History,31,83,0.07805816145037114,75385422879
346,Foreign Language,55,44,0.8488865342608,36749975108
347,Polish,77,36,0.9137839083837097,36749975108
348,Informatics,99,8,0.8171514213971564,36749975108
349,Chemistry,57,7,0.9575248110373485,23885469878
350,Mathematics,17,62,0.13939451517270207,23885469878
351,Physics,65,8,0.23280283722898554,23885469878
352,Foreign Language,33,24,0.9093229283168264,53230644642
353,Mathematics,27,62,0.16150499777867466,53230644642
354,Biology,84,12,0.159072311722677,53230644642
355,Foreign Language,62,41,0.5820827843429601,97700153910
356,Polish,18,99,0.09712884003418654,97700153910
357,Other,65,35,0.8179946762888605,97700153910
358,Foreign Language,72,12,0.6969594712248695,55350197102
359,Informatics,35,15,0.2685973461636618,55350197102
360,Physics,45,65,0.5242987547433876,55350197102
361,Foreign Language,59,28,0.5972569639668566,94791386621
362,Mathematics,10,68,0.4094342853278402,94791386621
363,Biology,13,14,0.19697575341332507,94791386621
364,Foreign Language,33,7,0.22025160585941728,28129412040
365,Polish,55,14,0.9304166141527245,28129412040
366,Mathematics,90,99,0.521296785561651,28129412040
367,Geography,12,68,0.07898314028176712,98513201373
368,Foreign Language,41,35,0.22852545562556126,98513201373
369,Chemistry,78,96,0.1133743794451848,98513201373
370,Foreign Language,11,74,0.13196660616313227,99931913459
371,Polish,45,12,0.6236733225333281,99931913459
372,Physics,32,57,0.5340938222268121,99931913459
373,Foreign Language,58,74,0.2579513650506866,44252979457
374,Mathematics,78,97,0.10064921589081077,44252979457
375,Physics,18,7,0.3261185469862776,44252979457
376,Mathematics,82,61,0.1414840533829318,27631960866
377,Foreign Language,14,41,0.6462538534350178,27631960866
378,Physics,39,35,0.013218190205693037,27631960866
379,Foreign Language,85,31,0.8267287829682576,92049951092
380,Mathematics,89,87,0.0754846624838178,92049951092
381,Chemistry,26,14,0.4849312954825046,92049951092
382,Chemistry,97,14,0.0732360557129329,26897839519
383,Foreign Language,57,15,0.8898019067652995,26897839519
384,Geography,75,24,0.4180532230862042,26897839519
385,Mathematics,39,68,0.11688693144105022,52884175308
386,Polish,18,27,0.40534124879609057,52884175308
387,Physics,1,4,0.31779532102000374,52884175308
388,Other,47,92,0.4437557676764545,96864336114
389,Physics,74,87,0.4726140805973684,96864336114
390,Foreign Language,72,61,0.4408521363348421,96864336114
391,Other,29,59,0.3621266308892892,62058376882
392,Physics,6,19,0.09187421840503385,62058376882
393,Mathematics,84,77,0.7528890241152262,62058376882
394,Foreign Language,16,84,0.9806891934102694,19692292900
395,Mathematics,79,82,0.6149620273730622,19692292900
396,Physics,63,1,0.3136253061030615,19692292900
397,Mathematics,45,36,0.12554810985792908,56369140411
398,Informatics,7,40,0.1450545663465438,56369140411
399,Physics,96,87,0.19200536019271208,56369140411
400,Physics,38,20,0.594017165901904,16839639247
401,Mathematics,38,8,0.8343975089007681,16839639247
402,Polish,41,50,0.3010206552822515,16839639247
403,Mathematics,3,33,0.4845005032227073,29125424801
404,Physics,59,65,0.022041946248748112,29125424801
405,Geography,64,1,0.14101001072107722,29125424801
406,Mathematics,31,23,0.9419437982780593,40657655585
407,Physics,72,27,0.08741320385469131,40657655585
408,Polish,11,47,0.28478075578401096,40657655585
409,Foreign Language,26,7,0.8649371455805565,94432333528
410,Mathematics,63,91,0.871961523365824,94432333528
411,Polish,50,92,0.9442676441131588,94432333528
412,Chemistry,31,8,0.3460152768191782,86162568355
413,Mathematics,16,21,0.2817654916552298,86162568355
414,Informatics,25,19,0.34806686757493965,86162568355
415,Foreign Language,8,43,0.870875014833956,30999237421
416,Geography,36,68,0.5186744210541019,30999237421
417,Mathematics,95,6,0.5025243840511086,30999237421
418,Physics,50,14,0.3825779690474006,24258558422
419,Mathematics,99,8,0.0918124203487174,24258558422
420,Informatics,30,58,0.016729466827462902,24258558422
421,Informatics,6,98,0.5597778771159991,50365579274
422,Foreign Language,57,6,0.4652664914524284,50365579274
423,Polish,96,76,0.4204989963583864,50365579274
424,Physics,16,31,0.9517360226310432,92937082565
425,Foreign Language,14,7,0.10332121721681375,92937082565
426,Mathematics,9,61,0.022599272429883577,92937082565
427,Foreign Language,6,52,0.9933375107835939,15783068736
428,Chemistry,11,16,0.4533679098522222,15783068736
429,Mathematics,53,6,0.3121669768196099,15783068736
430,Chemistry,19,78,0.5149392304067049,98317487519
431,Foreign Language,46,55,0.9358305579408773,98317487519
432,Physics,85,52,0.8787433791191789,98317487519
433,Foreign Language,7,92,0.40907564114174155,10666815638
434,Geography,65,15,0.3516065222598319,10666815638
435,Chemistry,37,29,0.9612445708483176,10666815638
436,Mathematics,3,16,0.5533736468730209,58894881885
437,Chemistry,50,26,0.8571940330463701,58894881885
438,Physics,23,93,0.376850341019762,58894881885
439,Foreign Language,24,64,0.2268955511201659,12455422878
440,Informatics,35,20,0.18560564904476784,12455422878
441,Mathematics,42,72,0.8506478458778229,12455422878
442,Geography,9,0,0.8487257004359868,86817144667
443,Chemistry,99,9,0.20171596421824278,86817144667
444,Physics,99,0,0.8475748800513597,86817144667
445,Mathematics,92,26,0.7401574004393181,98435664087
446,Informatics,25,58,0.5517333850618393,98435664087
447,Chemistry,86,22,0.4241495116284183,98435664087
448,Mathematics,28,79,0.7394701434938385,72220118832
449,Foreign Language,76,92,0.631522853928811,72220118832
450,Physics,41,43,0.33312674036823264,72220118832
451,Biology,7,48,0.07158914493238178,27433913060
452,Chemistry,78,30,0.6392877757131921,27433913060
453,Foreign Language,83,95,0.21638073699827742,27433913060
454,Mathematics,99,86,0.6531760847983842,75045849530
455,Informatics,26,87,0.3171488718295935,75045849530
456,Foreign Language,29,82,0.09587670314792263,75045849530
457,Polish,63,77,0.8180274640357499,56304423401
458,Mathematics,18,72,0.22306444160486782,56304423401
459,Physics,81,72,0.1671405447237705,56304423401
460,Mathematics,20,47,0.10600511605072238,29538160998
461,Biology,71,5,0.23247795045613617,29538160998
462,Geography,36,93,0.7011519332893507,29538160998
463,Informatics,30,27,0.562914135439309,21215972745
464,Foreign Language,65,70,0.05646467680236311,21215972745
465,Physics,14,51,0.8228320807641908,21215972745
466,Foreign Language,69,21,0.48936967141119125,20573299532
467,Polish,31,20,0.5438848200440275,20573299532
468,Other,24,84,0.04252842413496083,20573299532
469,Other,13,72,0.2046142428289187,63382860491
470,Foreign Language,8,32,0.6715572138965322,63382860491
471,Mathematics,95,39,0.7981323675898276,63382860491
472,Foreign Language,94,10,0.9840888368101919,74066222866
473,Mathematics,88,62,0.7895552266416175,74066222866
474,History,81,53,0.768369672878541,74066222866
475,Mathematics,89,7,0.5655236124250379,43017250678
476,Foreign Language,94,91,0.4147845696884812,43017250678
477,Physics,58,82,0.4122815268630269,43017250678
478,Polish,9,18,0.22859927970188243,64361850297
479,Foreign Language,89,84,0.7224593590368195,64361850297
480,Geography,67,53,0.937738031841713,64361850297
481,Informatics,62,10,0.6418398637598487,54457521276
482,Foreign Language,55,43,0.9005342094527004,54457521276
483,Mathematics,29,1,0.7607953406436065,54457521276
484,Foreign Language,11,66,0.28653766250202073,10680967787
485,Polish,95,4,0.29065417510498526,10680967787
486,Mathematics,60,70,0.2674484210278659,10680967787
487,Mathematics,63,3,0.7496899325288459,38915381156
488,Biology,89,24,0.25260001833809576,38915381156
489,Foreign Language,41,65,0.05396038226583644,38915381156
490,Chemistry,1,30,0.5788683445593898,30027034001
491,Mathematics,87,51,0.6254651577751388,30027034001
492,Informatics,4,63,0.15977243010903908,30027034001
493,Physics,57,19,0.6089888296838721,76233232963
494,Geography,37,9,0.467884398715108,76233232963
495,Foreign Language,44,84,0.7619746078812298,76233232963
496,Chemistry,20,14,0.01045765413343025,31180220097
497,Mathematics,21,24,0.7784883028408937,31180220097
498,Physics,99,40,0.614056576713477,31180220097
499,Biology,16,18,0.6675541225179223,86406430397
500,Mathematics,82,46,0.28589208608372596,86406430397
501,Physics,31,56,0.8882810510544645,86406430397
502,Foreign Language,15,97,0.14357173418080293,17170877621
503,Polish,98,17,0.29685303637878835,17170877621
504,Mathematics,100,33,0.8586377581152437,17170877621
505,Mathematics,56,28,0.17781204476435308,96298087081
506,Foreign Language,76,68,0.18734959953241814,96298087081
507,Physics,92,66,0.09310040392253727,96298087081
508,Polish,35,29,0.03646962718691815,52407909448
509,Mathematics,91,21,0.5461753943745605,52407909448
510,Physics,79,1,0.9007034802566034,52407909448
511,Foreign Language,82,3,0.4257762022301774,47917002456
512,Mathematics,59,58,0.00968562843848153,47917002456
513,History,66,63,0.5539337843485395,47917002456
514,Foreign Language,72,30,0.03830166745272878,31787329718
515,Mathematics,78,36,0.09857966252760342,31787329718
516,Physics,75,17,0.47670888129213307,31787329718
517,Foreign Language,61,50,0.457583362983332,49677016366
518,Mathematics,52,35,0.7725027048277978,49677016366
519,Informatics,99,18,0.8330247060095581,49677016366
520,Chemistry,42,99,0.23447300616060862,97574010546
521,Mathematics,80,28,0.5899858736408088,97574010546
522,Physics,46,56,0.7198310331594968,97574010546
523,Informatics,43,52,0.7490893529526413,44151881692
524,Biology,28,44,0.4476936468072944,44151881692
525,Mathematics,38,56,0.15495664833380096,44151881692
526,Chemistry,29,21,0.6294065775879178,83325664400
527,Physics,9,44,0.045342470969711224,83325664400
528,Other,9,57,0.7481383774519231,83325664400
529,Foreign Language,58,56,0.15058944953032405,60554296190
530,Physics,95,12,0.9223493972311801,60554296190
531,Chemistry,72,33,0.20092110811444486,60554296190
532,Mathematics,22,58,0.9283414049709711,82976833594
533,Foreign Language,17,79,0.5828831293167295,82976833594
534,Polish,89,87,0.4514231899171446,82976833594
535,Foreign Language,83,59,0.39677693289906457,25022648238
536,Mathematics,96,41,0.6371404064032724,25022648238
537,Physics,9,84,0.4477931362009586,25022648238
538,Foreign Language,65,64,0.6278337988496722,46763779318
539,Mathematics,70,70,0.8148710444930901,46763779318
540,Biology,89,5,0.5988071426159994,46763779318
541,Biology,18,89,0.48806970740857036,91607121803
542,Mathematics,32,68,0.5691446738863712,91607121803
543,Physics,83,23,0.6539976762028514,91607121803
544,Mathematics,42,58,0.545391558742845,99895612348
545,Informatics,11,69,0.966592852425617,99895612348
546,Polish,13,6,0.8997689408337703,99895612348
547,Chemistry,7,90,0.8191942679276285,90630599563
548,Foreign Language,75,36,0.07578806282376138,90630599563
549,Physics,35,29,0.18013852854522205,90630599563
550,Geography,1,56,0.6170946770791755,96236840155
551,Informatics,38,90,0.34610362052475996,96236840155
