id,field,level,short_description,student
12,Knowledge,provincial,fGxMkJRQTgiWKEBzAymjYPDkkfILLxKVZxpjXSKFkhQVLsuhyZfpsFfoHVfNshqRIBbPXNjcIgDbKgOLghQtJPLyLoMmrPcjMlOMOwtSbdymCRTVvVHdaecFhOWHkbGrOVjejruAnxQDWTarEVYNrBIYNaPrpXemXWLCzzKRJHekKdfMBCxGnaDLWCSfzKZWvvbHKjSzrfFJVGHzeAqlkucJeqOnItTDPHiHkioPZwKmVYrbZLuQkZOdifzoQGoKqtdcPSzHOfJrSvXsXxKYkEOCkZVwWasglpSZSbeufdhtBIBaaTrnyqiUZewEYdxNklqzZRtuBXQRbMwkcfdXjSZcSaQaNTWvcQeFQHCRjZmYxtquxhdbAqcszdjDoncKkKuVIdSPjtMfcjdtqqdItvIpOkPsdbXPgpTGrHJVJvsbCOzHRVnAjIRDKrYqvnKVeKLzkYvutofEPeZhqQVWEKuBGBUedEibuZqJqFnRJricnBXxwYis,81238201410
13,Sport,provincial,PklAXhuzsNEJJOKuTCOHSkMGPRSDXwXEOAzAFFlbearDIqsKiRhWfrXVsDcOvRUNRrEaUWUuHnGKtXPiABYwfVFLrGGgmChmzNPKtjMTxZFDrwlmMzFQhkpbhFjNZjsuSfylKVByEFMTrTvTwtksWljDHfuOTEGpfQUlioPeuhRpoMfKeLPhFaWyMoyhzNrizBGyKFbdhujAbPPZiZzThsPiHIBqtUzNdkxYFjHkWDjqwufSiIdpEBzBRWjPyLwHSmKThhRqrOZANuNpgJRuEDFkHUGTRVpEDNKstyFUoDuxVPhIKaHbrgUpUJJShVQGFXcDxRkkhMbQXWFUzQRJwUJbFanqkpFXkUWykxVYAyNGUWzJfECHAUqwgrAoxyVIVmDugfFwUpVrVjZWcJJENzhAAWyzFOFXKETairYOFfmGvcVKbZpdZoyPdyhQSfNwPssLKWdyJqZfOXfJHoJbeCNNjCplpKzqRbbukzUfAyqNYwdZbres,91372504268
14,Sport,national,VVmktoSCShWzIhFqRSRtcmVTtCyCqelDssJbdTlNVdvtCzWyWztEcoFkGacqEuUAllvHJElawyIqxOWvGMZrOWUWspqVxVjYczRIsDUuhcIcgZbPFbzRlxWprFLtmwPOFtGscnlLZoqFZezQSTlMKzrdmpuKvDjvVcRvUckKRZAmmPzAKzLmOgaVAESvHjwJJslNFeqeXVHyXqVmwPcQzLdkUeMZlRHNPNSDVXXAHhwHAWTzthwAcfWbuiiQaUCDtEPNeRsPqDLBCivPOaYwCDxoyumZvnxZyxowFsCmgSdsguVxQubPonSVuJMlkvHSFmaUEcNmqeEgsLctoapFceleCfryPTEPftHxzBQWvSVqUIiuqyQaPQfGdnWsXMpYEHsSlhRPtaxRzaIODthlhapjtKbLeAfEJeMHiLXhxdcphPcmxyzKLLdubjcycufWmKedpZNSQYLBPojLMcfgbsPUcXZaDtXleMkABagHSBSJTCbfOBdq,96116314766
15,Sport,provincial,YySyAblFacSsVIIRIpDxbczPdWfkgqQfGlQyergvGokCsQQRgPGGKLdyERakTVvCmVyYhBNDAVJGLmBskidJtlgkPonfZlMwNxSnhKLqlaMMdmFESBpnOOedXMGARfFQzhQTmatUHJFqJtINSlDzRyvbkGCLwxXENyaKFEtPrVhaFvavOlozWkpLcdLaUhLnnDMzfosKqbxcutUfErXvCJGcFCoWoheTSpvCAfGXfTcFkPJZKHcxDOGAewvcIdIgMZgRWkuJYHZycRWEHfbZXajjPKFKQmGZphFZMGRygRrSBQQldLcSFwxLObYxrZUxjPEIALmxlvdohUCmFHrekRvcsNYyCERedBINqOVBJHelvnpoBzXDbKuSQsfCuyoMNLYCqPfoMOwTDhBQeQcdkevimCXAkUqqWcBqCbcmpBhwFkZWQdGyzToCfXXHIUWugtWDmloKZvbwiaqxJCZajmGKgjBeKBNffbDquvJyzXPmBQQFICQQ,52793077583
16,Knowledge,national,luPeKWyZpRPCcTPAmgxZAWnNnJXDqOMWVdgRpnWEZmnnKLzcCaYGcNfMekEWbgeLqwmLyKvnAcXGYzZFbGRBVgcuTIOHvNIFfRUEmulhJSUOpStjWXwvejLzRIfBsfUzwPhKBPPzEdLlEkezUyCvCBOjRgWoUhczxoGZqgBAaitSouyEjmWARaXYpdshBMaYWBPJqcQluMAXjOICrterDMfGLtQAdFYXJsRvkSuJjbvxibtBxTCjBYNknUmGFcloIkIcoCWjmGxwcQjrQNoDmVZWVpDeEOcyVPcgCVhXZhSytbJmVEmwIuNqzEqbtPSOekdZIpGGMwxnoHCBuaCParkuiNXWgvXCejwIXFsvdlwlhcMcDtKaLKXoQDYANMJPdLXDVseenwkxBourimJTEJxKUcPedBRcITBUYmCMPlvKaaNtoEYEXHKacZZkCIYMcYbuyyHtrriSBFJXjZDwnXGCwynBGhOmGYksNHlgdmJumKkFZCJs,93534145654
17,Sport,international,gYUzVrFjBHKuXqRcVUVFGzHyZxhzaRBFAKqEbjvwQNvKausmNlOKExaprNThmiSfzhvNrEOkmovtrnfvrpghXJnLpYiMNfSjeZFfKDWTnZBfqAiLXxxVaqZRAcYAMRNVkkUHRnWkMOWWAUAjfbdnZBOSItMFAmtQUblTmDqUzLxMwKmmqMNxKCSRxchkmSawrpcRVAqPCUeDkxZKfVzxUWQfLCaojXhdrIpnEcrkQxVuOrlIpKKPmhjHgTsROJyExNJEBJMYmkSnPxfpHQGxZRbFWKvkkCmhNBbFtqXtenXorhrdgqrRNLsGvDRtJRsaTKbnQhvnkYeSzQIvfdiJlUjpjqZqPHIDqEHCEsMdLQgblnbjODMrSqxzSpMwoKeCEjNOLXKvdUzECKQMNCdaPenfYtuaWYlErLwMlPWiVdJHFEGPCggwUeNBXspMKsRKBrhpDZSasVRqTRpqtFbopVezwklWpsXjiQBaCKGVbHoYbGhpxuxq,82472458641
18,Sport,provincial,dYDiHAFXwEoTPtuBPHodxXWimYZwQxNOcXEFsspQTjmOujdAdjqxlpgMNfiRRkXqeYPshxxGYMjMvpKtQJuzHjRAHrUSxWiCEYnKGFwtqNTUAEDEMWFuZhiRJCCwqHPOGSVOazAdDlhXZOtcfiHeOCHPpxxRnskTISELRDJiAMRkesxmkzknTFpzdsqyuOOPzSSgRhyDAvRMbRoCZTWBCkbRokyooOTNpFLgKdCfiRNWpCQmajSFxOfJlVqlaoLipJvUDhvVQfVXenOlQvGiupklTCxLGtbfQhGsYPnSAHFYRzVVFEzvneOnzdYISxTnqStZhxzuKEtVTxEtzijPNgwfKMfXRpfbOoyHYNIcidfutJylFoCJSjQuoDHYWYktQNIbLfekCPZrEnuwxUsrZeKNRIFQJAiHTQmBSaMcCMQmorZShJMBlYPTOIhHGFmfbJRaopjUReqZUBNgiAHLbochqyTjcrUiscaKNXGADCvuaDXuUVbv,58995025514
19,Sport,national,fqnhdRaBLEHxcWHLneDgxEawwppTNmpWwKdNNypMFWNheSVFsTOEoXKCWekSLzarcNMzIIoMXWOMDKLYCajzitqtJxQolAsIasIcVaCrPismXdyMWfCfeQgQOyipPaJpAiitIxaYwJEHFcHyCYnTTsOSgLCQVKBVKPdpywQaYxFdeMFfmbYvyDXKKkLGfXTxVlqgVJNjmhBJUTMFHIKBGOKBbovULtHbTccbrJeiMNNyjPObdemNdfxkvysSXTEqXBmTGuSObpKtgHbMKiUZLiIyHikSrsHbQuhQcyAxurxGenSQvoquMaWmkuQncSDLMGtVRniryhYvzFYXqgsLpDXJWAGPQGEkJknVcbCRzbKNFBSLlKZyBaaYcowErtOkodQIsOHTeNggjyrnxeICCdjQNqiOthzniTipvmuAjESJARaEplIaFjVOcrjGCrWgmpAXmFQuqerphGsTXvYatUfnJvWdjLvwDWRovrqpQhbdfbWpTHCi,64896621640
20,Voluntary work,district,JDhcyNJoYZiGtEEqSWcOrEzTmxdBhxGrzlcxAiPGHupUWZydJHpYVfzmOaympyXdYPDYqCXtuwWhtbhPlSSieRGvuasPOeXeVuMKFSzTkYCOwRjsyShTxjkhIDpVUKxdqNFEazfpZEzBjXhZAGRtUOcxneHEpndrlzdaSdnFJTmZQZfDuEwsLiOUwcWWRVWwVKeIBHwTblLsrtXMWZlYSGKOvQcwNaOameWKZjmKZrtjgBsCuyvsWISNBFPzBQQtOxfpKEHtEHrsVUsURdzbxmQVLACjHLrSgMVTFXCEqRCbSgRqieITymwHqSnnRAnQBrfYJgcjdqWwNHVbUkQdCShuXHPagsNmAHhXZNzHPcgJwUkVfkSguPxGGFINmGHjwterjaRBfjlHBqZiEeEipaVbyNuNFIopqEoxjqqyRJTBpQciKWUpYQZTVoeIVttpItbGyOkAEiFSBtSeNKLXeszALRQWzHVGABdgvCHZYPffeCqbZKpD,27267864273
21,Voluntary work,district,otfuPlkpGfUMLhVvvsVJewrmwHJYURTFmiLQCNhjYkXLTSNTuBPYjBVvDsyMqebEWzdBfDohmeJFFkFFFKNeMPGHxOUmlYBsuwHmzwBJqJDmPXSsLUTQTpLwxvGLvamBPJogsvrMxyJZyLUhrPKDQGJkVkfzfGgOJFeVPbKZQxvoLYQvnLuzJYEbKoOTDFSNDqVylTzIdMpBfevOYbODrZoWiymEkhzdHDzzXPfEynhjirwKFqHDkEVKzXytCqiBklGkrZkOFmFFnADHkGgOfMjDbpLBQxJteuAouRlXhQUqQzPUKNbvSrCBbQxINseddzFwumYukcVElnBFczFMLKtSHwxzBIpmNjOnGaKVfiACKRoqZlOyGSofcScsstLdKzbQbKIqzrusowYektRgavHxWSLcoZvNSsbGwBljdCUvQRtYaKQIHSppllVqkgCuuLWodfVJiZxiduKCldWiwGheUToUaeRzBReBhIGbboXsqJJLqxDK,24076215773
22,Knowledge,provincial,XFvayxtbMWhmXUVasyxdeBXbizeBrYqQvSSvbMtsngbgqHERRyuoQrctiYtRFTTIJxgFCSIJECcqCMyUWkRpZqqcLCHTKLmRFdRLnqzrdDNXdgnlskBAKjAzmpkOmSTivOyCuUSOxOcrpccmWMXFwUXRmInHvUahDLJxvtukHrxnqnLoxYVzceRwzPinHPrvLWYshUHlRBAjqhdtJUbLhYwAuUgILPckaIbIVncgmZuxNoafxdVRcjnLmBcYIHfEjdmStssVWHRYMqUtMyBAmNsyFSpLqlHfSKRCWFPBWIDFOCFnMbQGsbFjEftTvWVyTAjszwLqYGYhezWolcrUnvoQTWpuibNaFSmuSGkcfYQStoFCpZdwNrmhZvqOcZSvuknnuNLXNLVCjGYVxCaBBdmuufNhMtFSetYOVokdqdtrhOIwyKPIeMYfXTGlPfmwxSXAAMWNaWBeMrqoXsWjDIXGtfJOJATyblZvhwtrmbyoTbhWUOiQ,35921919995
23,Knowledge,provincial,CotZCYhLUyECWIRLgvIkSTdiWgtcBsaGaNOZTRvhZXEcRzeDYzLVXKeGQHZfIVZFqUfqzNFNsgBPNsaGjGjcZihaECkPwFfrERsVWsOQsisdYluidQsbXvBgwGpLjWsAUAPOJhHxUDefYyeFnBqtlIAkPZoifYZiXBIbivkPWLlhkdxQtTseZHAJndbdCYDkPtkMKqcOifpjuRGiogSsgrKEDHGhSCmolQFdOBSySjEGmKYvtPKzIOpnsUoBUfvDDHhDXhfslDzgBtkDwfBQASlOiouqUZCFWAqeLLGFGMtDvHffhVQXrSoxfNYuCjiHowypethkXBaquqGlSqlFZlAWVJjFGYPVhbWgQRwlreEEecXfkTIixfYWSPZOfUuNSwhOzZGPzrBCSzWKosSMAvNBOyWcHRYxPbtcJScgRtjCXtHfyxWYHAIIgIrmlRukDnlqWJQeYNtjupDLeokSpsSKLgoCuoXLBezZNzkSUgsSPWgWPQUo,47335191262
24,Sport,district,hJsmNgwdnzzNwBTxvLjpPppmMGloPgRYWElwoJUwxeIPOgMklxDelyXqakzKYMNznPksJAupPXPhhMLCwosrhazUIMxYdIzemJONlUaxjpVsSYmfRVqetrnREluFOSBWJegQvgUTWNhYRuKoUJrJdKtfNkhkyXUlGoFiuhzjWddMAtvAjwhQFfnpYySogOdIxkRapyzFooWKnueVrenkPJGZHOtfUFQSzfnVpmkiiZkpdjuzBNQUzijwjKgqlaaYGaHfdIfPLrHlJeMsFmRdsZsBSXfGpfFKqkPughVNiPNqoopdHEqATRapLgdJnZsixkovoHaNstbnNXiCMPfNgxKwGNystxbLPJyQcVwDQNwkGenjRBRLWleuywAUlnwdszzaKwtpzEeuQNdvJZhLLEWPPcdPIowOZtsQWfHKjCzgGkKtXOCDRWGaPBLZnhPBBFnyRJQEOjRRmcbhojCTdOeANneGDchBMPhaDpiVsnoiCetwCYjo,27083825511
25,Knowledge,national,lOluEYBeyQpvLQPGAIbiaTgHmfCSgjmdxSrRRMoBseOoHJHEJOLwEBOtyTswPJKSGoqXLKEFUxvfGtnyEhbzMtdKSiqcFwCFBWVeUxTrhaKBsxrmOoRMTbVHCzmEGVIThOpNYqheVdORlrfQZKLBJnXkjpApfOSzTWNvvshtADcxzgKnBVTmPUjdYPpwlxMmrddYmAKcawOzVOKhfdAgfGAPjhZCmUEvYmZgsiiZhCNGvBQTnXGYeGZfuoiWHtlWwHZaYztvbISYsOZHcccLrewNGhOSUEcBINKvxUQlqZDRPHxSPuYfzdQbaPHeqzsUgGrWXCYjTavipzVCwUjTJycrhKGPxnuckiZpvzHZVnnVqGgUtcuPKKifeoeyxOxzTGUoumklxFhWTBKiBqtfPMZTixgusJyFeLCOSHdUsQzsIxTCKyNFLNxCkzADztZwhLYmOqAOhFBvojAgpOyqQUKhRbOcfqWSJjaPpXbnTGHQgSkThLcM,72527767987
26,Voluntary work,district,SNwohlFnqVRhDBojEJNcyiYTrnobYIjSmcdUQGqyZABfJHDJuaZxctldRxyYtJTykGMEWcTagQftdbfRzsmuJEICAnNYnDVwmEsaOZnCFVWuOZzyZsPQxsGdMzbJCXSWYNZCktYRXehelqkOWdzTxRIJJIzLHLkAVMSqSLRyBDKYgTEQjUsAsSJzhDNzKKTzNrpCZuMdRXuWuMQloPbssMVDYkbtQwXPTkrzBffEulNIUsGLUJnvDvYJOhaSGscIknMeZRNqTvenpNRdOpjEpAAnTHJLptoKUADddEvPzFTduTvjRihLIOzltGYoMzRnXotlysxXVsElzmWdFYYzaThfZvfYhnupxeQlrtQJJfWOtIeojpEErGCjjogDRQBNLXJOnFboVQNRjHKuZFzrFZjTUUhIbUfveqFHlUGIxdqdItXqphXGGAnFzbaTwOweGeBoTNmqrjyWktZlJgrUUObxXaAFnzYHTaeIpbXALgsEjociZKCo,80648496091
27,Knowledge,district,BTGFqOHSTRUlYwtDNfYbBkMluHYMhKUhxUULAxEZCarqiQpDBfEzaGkDlYNesoCuzzDyZUKUjRgJpSvsXdQTWtGTpVHQtAkEAgXaGiODAmIHydIJXCsRGgKQjMbdKaVTqgRanHfkNplaVZHJrnfKgNenNmGPbLDWFzPXHrtXwIUEvwvhiGYLaDNcawNNTjFWTIkswzLWDEkrBSbHHazIMaSAeHDXkiDzyqkcAYsRuwqSrjbswFRnvvWJuDmUoJVsLIVLrDfrvTriBOEvfnSEoNHlLweKjRXLsYMQpMtzCUkHWeUzJXoXVzJcQGoeogTBiyyEfqDRnsUjsnuTkRYQlEzRQHKsUMIXoWEaSEIlzikaIObcoRYxyIfadwopxluNDZGitIXOjtxQmoolQNDbaGgFwSOmeHJdcZZRQzjwqFvHjjOpYyQWoSiRDFSyLomSEwUIPlwLVfqXwgqBkXXpOpTGRDpTZFviogoDCRDugMWwAunPPlbb,14522822507
28,Knowledge,district,kRDyFYGMpGqKfMjAKGnRjnsTjtCeqEShwHacTxTbBnNblHMDkYDegLGYmQTrOBRcrisQqxgsXOlnSRnBJSgrMadMCMZDykMgUzhSexCGGJRZhVwbjVDYlrTqDkuHEfAjuIWeSfRkMsGHzBDGNsUfGRGAqAbLauHAeMYmatvGuseNVIgLEyZUqNNHNkNWLMauKxMLxgqcbDmGEfKKjnYoslJDsjDWTzxnhRzYACjfYwMuJzGbQYrmvFSTCaKzbKsFriiIxlUnSKvMeyymYWiVlCtTxdrcPBWWhfFexmvGltCSRYpPVMTMFgtQshAeazwGMFcVRRsHUgltjXnqFdNpMPNdHEYAVXLXKKwfOzzXrVxrsUiDSdXWfFltYZfQvZHYZeGwXdapsGIuTZEjAXBVElblnEZGBzQjJDezMqdiDYtgndxtnDnzRQruRxxyYSEbOoKmPdxzEilHHkOqxopvrcEKeCwrxNELoFzHJqRLbZjRuvmalxuA,83277278121
29,Knowledge,district,EyruyQQtcJIgxQzPncLOVSozAtlARkzkcihEaLlUCPUPXkscagALXfjTeddLCLizBApOsZqGnNuiLapdSUyUNDLFrGSMGMtUedilEkztWFEsWzCjpVWQcSYkiqKByUXQqXgOFGQiEkggkKzFBbGPVyLocTKSlftAJmJpwKoQIPHMvCpSFWzCaeOzrHHiAgRLXrGNAyLuBrpzcyeqbbnfpZjfnCESOvQXbmCxpWNYobGQDmtaeGPwIDjMMOPMVwFwwGPtbIBCwcSKltwFnMSUlKwsIQTWuvGvuwXkFZjThnRSrlUGVKwYJnWNajJpGxYeUfagIimEegEUJxQWlqSNLGvolCVxDeHxOGWxYtsQKihyosnpGGvZzMAjiPCMNFdXnuiDcKffctwkqNtpkcZtbdETYgzcTPSfJaHFzpYdIslSkXgFTQzwcjMCuBcNOLfOYBZfHWnNOnjhwJBGBMCSvThpICkUmZPYuVXIPIfWorpmselxKcpC,87376696836
